site_ID,site_name,latitude_numeric,longitude_numeric,blurred_coordinates,topography_m,freshwater_depth_m,realm_1,realm_2,biome_1,biome_2,functional_group_1,functional_group_2,contributor_comments
11860,Alto del Viso2,40.9899,-2.1636,FALSE,1089,,Terrestrial,"",Shrublands and shrubby woodlands biome,"",Seasonally dry temperate heath and shrublands,"",""
11861,Bornova,41.1436,-3.0399,FALSE,1076,,Terrestrial,"",Shrublands and shrubby woodlands biome,"",Seasonally dry temperate heath and shrublands,"",""
11862,Bustares1,41.131,-3.0545,FALSE,1250,,Terrestrial,"",Shrublands and shrubby woodlands biome,"",Seasonally dry temperate heath and shrublands,"",""
11863,Bustares2,41.1281,-3.0544,FALSE,1250,,Terrestrial,"",Shrublands and shrubby woodlands biome,"",Seasonally dry temperate heath and shrublands,"",""
11864,Bustares3,41.1222,-3.0547,FALSE,1250,,Terrestrial,"",Shrublands and shrubby woodlands biome,"",Seasonally dry temperate heath and shrublands,"",""
11865,Bustares4,41.1296,-3.0495,FALSE,1250,,Terrestrial,"",Shrublands and shrubby woodlands biome,"",Seasonally dry temperate heath and shrublands,"",""
11866,Bustares5,41.1239,-3.0391,FALSE,1250,,Terrestrial,"",Shrublands and shrubby woodlands biome,"",Seasonally dry temperate heath and shrublands,"",""
11867,Anquela1,40.7447,-1.6944,FALSE,1259,,Terrestrial,"",Shrublands and shrubby woodlands biome,"",Seasonally dry temperate heath and shrublands,"",""
11868,Anquela2,40.7498,-1.7284,FALSE,1259,,Terrestrial,"",Shrublands and shrubby woodlands biome,"",Seasonally dry temperate heath and shrublands,"",""
11869,Anquela3,40.7439,-1.7443,FALSE,1259,,Terrestrial,"",Shrublands and shrubby woodlands biome,"",Seasonally dry temperate heath and shrublands,"",""
11870,Anquela4,40.7592,-1.7412,FALSE,1259,,Terrestrial,"",Shrublands and shrubby woodlands biome,"",Seasonally dry temperate heath and shrublands,"",""
11871,Las Pedrizas,40.7684,-1.7739,FALSE,1102,,Terrestrial,"",Shrublands and shrubby woodlands biome,"",Seasonally dry temperate heath and shrublands,"",""
11872,Anquela5,40.7725,-1.7555,FALSE,1259,,Terrestrial,"",Shrublands and shrubby woodlands biome,"",Seasonally dry temperate heath and shrublands,"",""
11873,Torrecuadrada1,40.7578,-1.784,FALSE,1164,,Terrestrial,"",Shrublands and shrubby woodlands biome,"",Seasonally dry temperate heath and shrublands,"",""
11874,Torrecuadrada2,40.7563,-1.7955,FALSE,1164,,Terrestrial,"",Shrublands and shrubby woodlands biome,"",Seasonally dry temperate heath and shrublands,"",""
11875,Chera,40.7707,-1.7551,FALSE,1098,,Terrestrial,"",Shrublands and shrubby woodlands biome,"",Seasonally dry temperate heath and shrublands,"",""
11876,Anquela6,40.7695,-1.7376,FALSE,1259,,Terrestrial,"",Shrublands and shrubby woodlands biome,"",Seasonally dry temperate heath and shrublands,"",""
11877,Castilnuevo,40.8128,-1.841,FALSE,1086,,Terrestrial,"",Shrublands and shrubby woodlands biome,"",Seasonally dry temperate heath and shrublands,"",""
6234,Rello,41.2875,-2.7843,FALSE,1000,,Terrestrial,"",Shrublands and shrubby woodlands biome,"",Seasonally dry temperate heath and shrublands,"",-2.7843
