collection_ID,name,ecoSound-web_link,primary_contributors,secondary_contributors,date_added,URL_open_recordings,URL_project,DOI_publication,core_realm_IUCN,medium,locality,spatial_selection,temporal_exclusion,contributor_comments
259,"HIFI Lab, midwest US - noise",https://ecosound-web.de/ecosound_web/collection/show/259,Kristen Bellisario,Conner Partaker,2023-10-04,Arbimon,https://arbimon.org/p/hifi-noise/overview,none,Terrestrial,air,"Midwest, United States","temperate forest, parks, nature preserves, transportation",none,biodiversity and transportation noise study
467,The Sound of Norway_2021,https://ecosound-web.de/ecosound_web/collection/show/467,"Carolyn Rosten,Benjamin Cretois,Sarab Sethi",Frode Fossøy,2024-06-04,none,https://hdl.handle.net/11250/2832294,none,Terrestrial,air,Norway,47 sites among natural and semi-natural forest,none,Acoustic survey in parallel with eDNA and insect traps
261,The Sound of Norway_2022,https://ecosound-web.de/ecosound_web/collection/show/261,"Carolyn Rosten,Benjamin Cretois,Julia Wiel,Sarab Sethi,Ian Avery Bick","",2024-06-04,https://thesoundofnorway.com/#species,https://hdl.handle.net/11250/3043785,none,Terrestrial,air,Norway,"41 sites across forest, semi-natural grasslands, and urban",none,"Bird detection, national monitoring program over 9 months"
451,Coral Reef_2022,https://ecosound-web.de/ecosound_web/collection/show/451,"Julia Wiel,Johanna Järnegren",Carolyn Rosten,2024-06-04,none,https://www.nina.no/english/Fields-of-research/Environmental-monitoring/Acoustic-monitoring,none,Marine,water,"Skarnsundet in Trondheimsfjorden, Norway","2 sites, one on the coral reef and the other off reef",none,Characteristics of a cold coral reef soundscape
452,Eiktyr_2022-2023,https://ecosound-web.de/ecosound_web/collection/show/452,Julia Wiel,"Carolyn Rosten,Astrid  Brekke Skrindo,Diego Pavón Jórdan",2024-06-04,none,https://www.nina.no/english/Fields-of-research/Environmental-monitoring/Acoustic-monitoring,none,Terrestrial,air,"Orkland, Norway",13 areas monitored accross forest and grassland within 10x5km2,none,"Local survey of the biodiversity, in parallel camera traps, bird transects, snowtracking, remote sensing, EIA"
465,Hitra&Frøya_2020,https://ecosound-web.de/ecosound_web/collection/show/465,"Carolyn Rosten,Julia Wiel",Frode Fossøy,2024-06-04,none,https://documentation.entpe.fr/cgi-bin/koha/opac-detail.pl?biblionumber=44657,none,Marine,water,"Hitra, Norway",21 sites along a fjrod,none,"Comparison of three methods: PAM, BRUV, eDNA"
127,Blue Mountains Landscape - 2023,https://ecosound-web.de/ecosound_web/collection/show/127,"Adam Duarte,Jamie Ratliff,Matthew J. Weldy,Ben Vernasco",Robert Spaan,2023-12-13,none,none,none,Terrestrial,air,"Wallowa-Whitman and Umatilla National Forests, Northern Blue Mountains, U.S.A.","Random selection of large (500 ha) grid cells (43 total) with cluster sampling (3-4 sampling stations/sites within each grid cell - 170 total). All units placed within National Forest boundaries and must be """"forest capable"""" land (i.e., sampling could include forests, shrublands, and grasslands within the National Forests)",none,""
129,Blue Mountains Project Areas - 2023,https://ecosound-web.de/ecosound_web/collection/show/129,"Adam Duarte,Jamie Ratliff,Matthew J. Weldy,Ben Vernasco",Robert Spaan,2023-12-13,none,none,none,Terrestrial,air,"Wallowa-Whitman and Umatilla National Forests, Northern Blue Mountains, U.S.A.","Stratified random selection of sampling stations/sites (79 total) within forest management project areas that include multple proposed treatment types (i.e., control, thinning, prescribed fire, etc.). . All units placed within National Forest boundaries and must be """"forest capable"""" land (i.e., sampling could include forests, shrublands, and grasslands within the National Forests)",none,Acoustic survey in parallel with camera traps
130,Blue Mountains Managed Watersheds - 2022,https://ecosound-web.de/ecosound_web/collection/show/130,"Adam Duarte,Jamie Ratliff,Matthew J. Weldy,Ben Vernasco",Robert Spaan,2023-12-13,none,none,none,Terrestrial,air,"Wallowa-Whitman and Umatilla National Forests, Northern Blue Mountains, U.S.A.","Stratified random selection of large (500 ha) grid cells (44 total) that overlap proposed forest mangement treatments with cluster sampling (3-4 sampling stations/sites within each grid cell - 172 total). . All units placed within National Forest boundaries and must be """"forest capable"""" land (i.e., sampling could include forests, shrublands, and grasslands within the National Forests)",none,""
132,NI_Harste,https://ecosound-web.de/ecosound_web/collection/show/132,David Singer,"",2023-12-14,none,none,none,Terrestrial,air,"Aschenburg near Harste, Göttingen, Germany",100x100m grid of 20 sites in a 20 ha forest,none,analysed with BirdNET V2.2
